Brand,Product_Name,Former_Price,Current_Price,Discount
Ray-Ban,Ray-BanRB7047,,$176,
Oakley,OakleyPlank 2.0,,$187,
,,,,
Oakley,OakleySocket 5.5,,$227,
Oakley,OakleyHolbrook RX,,$187,
Oakley,OakleyWheel House,,$242,
Ray-Ban,Ray-BanRB8908,,$276,
Ray-Ban,Ray-BanRB7229,$222,$155.40,30% Off
Oakley,OakleyPitchman R Carbon - Alternate Fit,,$297,
Ray-Ban,Ray-BanRB6645,,$210,
Ray-Ban,Ray-BanRB7260,,$210,
Ray-Ban,Ray-BanRB5154 Clubmaster,,$222,
Persol,PersolPO3189V,$342,$171,50% Off
Burberry,BurberryBE2315,$266,$133,50% Off
Persol,PersolPO3297V,,$342,
Versace,VersaceVE1285,$300,$210,30% Off
Gucci,GucciGG1340O,$305,$259.25,15% Off
Gucci,GucciGG1221O,$605,$514.25,15% Off
Kate Spade,Kate SpadeCharlee,$245,$171.50,30% Off
Kate Spade,Kate SpadeLucyann,$230,$161,30% Off
Burberry,BurberryBE2417,$327,$228.90,30% Off
Dolce & Gabbana,Dolce & GabbanaDG3415,$335,$234.50,30% Off
Versace,VersaceVE3373U,$316,$221.20,30% Off
RALPH by Ralph Lauren,RALPH by Ralph LaurenRA7158U,$141,$98.70,30% Off
Ray-Ban,Ray-BanRB7140,,$237,
